Date-Hour(NMT),FF,OT_1,PR,QSI,TA,UU
14.01.2017-03:00,1,0,993.2,-6.9,-6.2,91
14.01.2017-04:00,0.2,0,993.7,-7.1,-6.6,93
14.01.2017-05:00,0.3,0,994.1,-6.7,-5.7,91
14.01.2017-06:00,0.4,0,994.8,-6.3,-5.7,92
14.01.2017-07:00,0.2,0,995.4,-5.6,-4.4,90
14.01.2017-08:00,0.8,0,996.2,-5.7,-3.4,88
14.01.2017-09:00,1.2,0,996.9,-5.4,-3,88
14.01.2017-10:00,1.1,0,997.8,14.8,-2.1,85
14.01.2017-11:00,0.7,0,998.6,37.3,-0.9,80
14.01.2017-12:00,4.3,0,999.2,60,0.3,66
14.01.2017-13:00,4.5,0,999.8,43.6,0.2,64
14.01.2017-14:00,5.3,0,1000.7,37.8,-0.1,66
14.01.2017-15:00,5.9,0,1001.7,36.4,-0.6,68
14.01.2017-16:00,5,0,1002.9,6.2,-0.7,66
14.01.2017-17:00,6.4,0,1003.9,-5.4,-1,58
14.01.2017-18:00,3,0,1004.7,-6.2,-2.2,62
14.01.2017-19:00,3.8,0,1005.5,-6.2,-1.9,57
14.01.2017-20:00,2.5,0,1006.3,-7.1,-3,62
14.01.2017-21:00,3.3,0,1007.1,-7.2,-3.1,60
14.01.2017-22:00,3,0,1007.8,-7.3,-3.9,60
14.01.2017-23:00,2.1,0,1008.7,-7,-3.6,57
15.01.2017-00:00,4.5,0,1009.4,-7,-3.9,62
15.01.2017-01:00,3,0,1010.1,-6.9,-4.5,64
15.01.2017-02:00,1.8,0,1010.5,-7.2,-5.4,70
15.01.2017-03:00,0.7,0,1011.5,-7,-6.2,73
15.01.2017-04:00,1.3,0,1012.1,-6.8,-5.5,71
15.01.2017-05:00,1.7,0,1012.5,-6.9,-5.4,70
15.01.2017-06:00,1.7,0,1013.1,-7,-5,68
15.01.2017-07:00,0.7,0,1013.9,-7.2,-5.5,68
15.01.2017-08:00,1.1,0,1014.5,-6.9,-6.1,70
15.01.2017-09:00,1.7,0,1015.6,-5.8,-6.2,71
15.01.2017-10:00,0.9,38,1016.4,16.3,-5.8,70
15.01.2017-11:00,1.2,60,1016.8,71.4,-4.1,67
15.01.2017-12:00,0.8,60,1017.1,114.2,-2,56
15.01.2017-13:00,0.8,60,1017.8,131,-1.1,53
15.01.2017-14:00,1.1,60,1018.3,112.4,-1.6,56
15.01.2017-15:00,1.9,60,1019.1,66,-1.2,48
15.01.2017-16:00,2.3,41,1019.5,13.1,-2.2,51
